neighborhood;borough;coordinates
Allerton;Bronx;-73.8486,40.87167/-73.84582,40.87024/-73.85456,40.85995/-73.85467,40.85959/-73.85639,40.85759/-73.86888,40.85722/-73.86832,40.85786/-73.86955,40.85778/-73.87102,40.85731/-73.87048,40.86541/-73.87055,40.8697/-73.86722,40.86969/-73.85745,40.86953/-73.85555,40.87181/-73.8536,40.87329/-73.8486,40.87167/
Alley Pond Park;Queens;-73.74333,40.73888/-73.74371,40.7394/-73.74402,40.74077/-73.7499,40.73977/-73.75145,40.74023/-73.75349,40.74239/-73.74844,40.74334/-73.74573,40.74295/-73.74476,40.74333/-73.74648,40.74685/-73.74376,40.74756/-73.7441,40.74819/-73.74566,40.75158/-73.74602,40.75266/-73.74751,40.75614/-73.75046,40.75939/-73.75242,40.76009/-73.75348,40.75881/-73.75645,40.75889/-73.75798,40.75866/-73.75978,40.75785/-73.76067,40.75699/-73.76073,40.7559/-73.76015,40.75505/-73.76067,40.75487/-73.76142,40.75574/-73.76131,40.75696/-73.76166,40.75815/-73.76093,40.75903/-73.75962,40.75922/-73.75887,40.75994/-73.75805,40.76013/-73.75792,40.76042/-73.7584,40.76201/-73.75699,40.76227/-73.75003,40.76375/-73.74929,40.76309/-73.74622,40.76423/-73.74496,40.76215/-73.74442,40.76049/-73.74268,40.75879/-73.74084,40.75601/-73.73929,40.75705/-73.73916,40.7563/-73.73976,40.75544/-73.74098,40.75487/-73.74133,40.75459/-73.74185,40.75347/-73.74135,40.75247/-73.74091,40.75198/-73.73989,40.75134/-73.7383,40.74922/-73.73737,40.74835/-73.73672,40.74792/-73.73588,40.74753/-73.73542,40.74714/-73.73516,40.74656/-73.73504,40.74612/-73.73505,40.74487/-73.73476,40.74412/-73.73375,40.74284/-73.73321,40.7418/-73.73379,40.73899/-73.73848,40.73812/-73.74016,40.73853/-73.74129,40.73881/-73.74303,40.73844/-73.74333,40.73888/
Arden Heights;Staten Island;-74.16983,40.56108/-74.16982,40.56106/-74.16707,40.54821/-74.16692,40.54794/-74.16689,40.54785/-74.16685,40.54782/-74.16683,40.54778/-74.16623,40.54734/-74.1653,40.54427/-74.16992,40.54223/-74.17728,40.54063/-74.17733,40.54062/-74.1774,40.54248/-74.1765,40.54449/-74.18072,40.54667/-74.17959,40.54807/-74.17881,40.54966/-74.17933,40.54989/-74.18209,40.5511/-74.18318,40.5552/-74.18464,40.55381/-74.18551,40.55424/-74.18566,40.5541/-74.18609,40.55455/-74.18827,40.55328/-74.18781,40.55282/-74.18707,40.55242/-74.18858,40.55071/-74.18932,40.55113/-74.19057,40.552/-74.19242,40.55375/-74.19769,40.55889/-74.19408,40.56208/-74.19315,40.56264/-74.19259,40.56273/-74.19241,40.56427/-74.19079,40.56439/-74.19034,40.56305/-74.18946,40.56364/-74.18525,40.56455/-74.18437,40.56516/-74.18431,40.56653/-74.18285,40.56665/-74.18263,40.56556/-74.18158,40.56531/-74.17794,40.56398/-74.17659,40.56324/-74.17489,40.56283/-74.17146,40.56138/-74.16983,40.56108/
Arlington;Staten Island;-74.15975,40.64142/-74.15998,40.64145/-74.16037,40.64158/-74.16111,40.64184/-74.16118,40.64201/-74.16135,40.6435/-74.16146,40.64429/-74.16146,40.64429/-74.15799,40.64386/-74.15743,40.6433/-74.15755,40.64325/-74.15792,40.64308/-74.15813,40.64263/-74.15828,40.64256/-74.1584,40.64254/-74.15848,40.64254/-74.15855,40.6425/-74.15858,40.64243/-74.15866,40.64231/-74.15874,40.642/-74.15881,40.64176/-74.1592,40.64165/-74.15946,40.64145/-74.15975,40.64142/
Arrochar;Staten Island;-74.06078,40.59319/-74.06079,40.59318/-74.06215,40.59203/-74.06304,40.59109/-74.06503,40.58899/-74.06448,40.5884/-74.06436,40.58827/-74.06452,40.58835/-74.06478,40.58849/-74.0672,40.58675/-74.06722,40.58673/-74.06942,40.58465/-74.07048,40.58508/-74.08024,40.59007/-74.08241,40.59321/-74.08375,40.59549/-74.08588,40.59589/-74.08559,40.59658/-74.08551,40.59678/-74.08537,40.59691/-74.08494,40.59731/-74.08481,40.59744/-74.08474,40.59746/-74.08171,40.59856/-74.07716,40.59839/-74.0749,40.59761/-74.07387,40.59764/-74.07362,40.59721/-74.06464,40.60018/-74.06208,40.59684/-74.06183,40.59631/-74.0624,40.59585/-74.06283,40.59524/-74.06078,40.59319/
