neighborhood;borough;coordinates
Allerton;Bronx;-73.8486,40.87167/-73.84582,40.87024/-73.85456,40.85995/-73.85467,40.85959/-73.85639,40.85759/-73.86888,40.85722/-73.86832,40.85786/-73.86955,40.85778/-73.87102,40.85731/-73.87048,40.86541/-73.87055,40.8697/-73.86722,40.86969/-73.85745,40.86953/-73.85555,40.87181/-73.8536,40.87329/-73.8486,40.87167/
Alley Pond Park;Queens;-73.74333,40.73888/-73.74371,40.7394/-73.74402,40.74077/-73.7499,40.73977/-73.75145,40.74023/-73.75349,40.74239/-73.74844,40.74334/-73.74573,40.74295/-73.74476,40.74333/-73.74648,40.74685/-73.74376,40.74756/-73.7441,40.74819/-73.74566,40.75158/-73.74602,40.75266/-73.74751,40.75614/-73.75046,40.75939/-73.75242,40.76009/-73.75348,40.75881/-73.75645,40.75889/-73.75798,40.75866/-73.75978,40.75785/-73.76067,40.75699/-73.76073,40.7559/-73.76015,40.75505/-73.76067,40.75487/-73.76142,40.75574/-73.76131,40.75696/-73.76166,40.75815/-73.76093,40.75903/-73.75962,40.75922/-73.75887,40.75994/-73.75805,40.76013/-73.75792,40.76042/-73.7584,40.76201/-73.75699,40.76227/-73.75003,40.76375/-73.74929,40.76309/-73.74622,40.76423/-73.74496,40.76215/-73.74442,40.76049/-73.74268,40.75879/-73.74084,40.75601/-73.73929,40.75705/-73.73916,40.7563/-73.73976,40.75544/-73.74098,40.75487/-73.74133,40.75459/-73.74185,40.75347/-73.74135,40.75247/-73.74091,40.75198/-73.73989,40.75134/-73.7383,40.74922/-73.73737,40.74835/-73.73672,40.74792/-73.73588,40.74753/-73.73542,40.74714/-73.73516,40.74656/-73.73504,40.74612/-73.73505,40.74487/-73.73476,40.74412/-73.73375,40.74284/-73.73321,40.7418/-73.73379,40.73899/-73.73848,40.73812/-73.74016,40.73853/-73.74129,40.73881/-73.74303,40.73844/-73.74333,40.73888/
Arden Heights;Staten Island;-74.16983,40.56108/-74.16982,40.56106/-74.16707,40.54821/-74.16692,40.54794/-74.16689,40.54785/-74.16685,40.54782/-74.16683,40.54778/-74.16623,40.54734/-74.1653,40.54427/-74.16992,40.54223/-74.17728,40.54063/-74.17733,40.54062/-74.1774,40.54248/-74.1765,40.54449/-74.18072,40.54667/-74.17959,40.54807/-74.17881,40.54966/-74.17933,40.54989/-74.18209,40.5511/-74.18318,40.5552/-74.18464,40.55381/-74.18551,40.55424/-74.18566,40.5541/-74.18609,40.55455/-74.18827,40.55328/-74.18781,40.55282/-74.18707,40.55242/-74.18858,40.55071/-74.18932,40.55113/-74.19057,40.552/-74.19242,40.55375/-74.19769,40.55889/-74.19408,40.56208/-74.19315,40.56264/-74.19259,40.56273/-74.19241,40.56427/-74.19079,40.56439/-74.19034,40.56305/-74.18946,40.56364/-74.18525,40.56455/-74.18437,40.56516/-74.18431,40.56653/-74.18285,40.56665/-74.18263,40.56556/-74.18158,40.56531/-74.17794,40.56398/-74.17659,40.56324/-74.17489,40.56283/-74.17146,40.56138/-74.16983,40.56108/
Arlington;Staten Island;-74.15975,40.64142/-74.15998,40.64145/-74.16037,40.64158/-74.16111,40.64184/-74.16118,40.64201/-74.16135,40.6435/-74.16146,40.64429/-74.16146,40.64429/-74.15799,40.64386/-74.15743,40.6433/-74.15755,40.64325/-74.15792,40.64308/-74.15813,40.64263/-74.15828,40.64256/-74.1584,40.64254/-74.15848,40.64254/-74.15855,40.6425/-74.15858,40.64243/-74.15866,40.64231/-74.15874,40.642/-74.15881,40.64176/-74.1592,40.64165/-74.15946,40.64145/-74.15975,40.64142/
Arrochar;Staten Island;-74.06078,40.59319/-74.06079,40.59318/-74.06215,40.59203/-74.06304,40.59109/-74.06503,40.58899/-74.06448,40.5884/-74.06436,40.58827/-74.06452,40.58835/-74.06478,40.58849/-74.0672,40.58675/-74.06722,40.58673/-74.06942,40.58465/-74.07048,40.58508/-74.08024,40.59007/-74.08241,40.59321/-74.08375,40.59549/-74.08588,40.59589/-74.08559,40.59658/-74.08551,40.59678/-74.08537,40.59691/-74.08494,40.59731/-74.08481,40.59744/-74.08474,40.59746/-74.08171,40.59856/-74.07716,40.59839/-74.0749,40.59761/-74.07387,40.59764/-74.07362,40.59721/-74.06464,40.60018/-74.06208,40.59684/-74.06183,40.59631/-74.0624,40.59585/-74.06283,40.59524/-74.06078,40.59319/
Arverne;Queens;-73.78953,40.59997/-73.78954,40.59994/-73.78956,40.59991/-73.7896,40.59987/-73.7897,40.5998/-73.78977,40.59975/-73.78977,40.59973/-73.78978,40.59972/-73.7898,40.59972/-73.78981,40.5997/-73.78983,40.59966/-73.78988,40.59959/-73.78991,40.59954/-73.78993,40.59952/-73.78998,40.59946/-73.79,40.59944/-73.79001,40.59941/-73.79005,40.59937/-73.79014,40.59935/-73.79024,40.5993/-73.79031,40.59926/-73.79034,40.59919/-73.79032,40.59905/-73.79035,40.59889/-73.79043,40.59865/-73.79066,40.59811/-73.79066,40.59809/-73.79068,40.59805/-73.79074,40.59789/-73.79079,40.59779/-73.79081,40.59771/-73.79085,40.59758/-73.79092,40.59746/-73.79093,40.59741/-73.79094,40.5974/-73.79096,40.59739/-73.791,40.59734/-73.79103,40.5973/-73.79106,40.59725/-73.79107,40.5972/-73.79108,40.59715/-73.79107,40.59704/-73.79107,40.59701/-73.79109,40.59697/-73.7911,40.59695/-73.79109,40.59692/-73.79107,40.5969/-73.79107,40.59687/-73.79107,40.59685/-73.79108,40.59683/-73.7911,40.59681/-73.7911,40.59679/-73.79109,40.59674/-73.79108,40.5967/-73.79107,40.59668/-73.79107,40.59664/-73.79106,40.59652/-73.79105,40.5965/-73.79102,40.59646/-73.791,40.59642/-73.79099,40.59639/-73.79099,40.5963/-73.79097,40.59621/-73.79096,40.59616/-73.79094,40.59612/-73.79094,40.59607/-73.79094,40.59603/-73.79094,40.59601/-73.79093,40.59598/-73.79093,40.59596/-73.79093,40.59588/-73.79095,40.59581/-73.79102,40.59563/-73.79103,40.59557/-73.79104,40.59552/-73.79102,40.59545/-73.791,40.5954/-73.79099,40.59537/-73.79097,40.59532/-73.79095,40.59523/-73.79094,40.59519/-73.7909,40.59509/-73.79086,40.59501/-73.79078,40.59492/-73.79073,40.5949/-73.79071,40.59488/-73.79069,40.59486/-73.79065,40.59478/-73.79054,40.59476/-73.79042,40.59475/-73.79044,40.59483/-73.79046,40.59496/-73.79057,40.59495/-73.79071,40.59609/-73.7908,40.59608/-73.79081,40.59609/-73.79059,40.59611/-73.79059,40.5961/-73.79068,40.59609/-73.79054,40.59498/-73.79043,40.59499/-73.79041,40.59486/-73.79032,40.59486/-73.79032,40.59485/-73.7904,40.59484/-73.7904,40.59483/-73.79038,40.59479/-73.79038,40.59475/-73.7903,40.59475/-73.79015,40.59477/-73.79016,40.59482/-73.79017,40.59487/-73.79032,40.59605/-73.79042,40.59604/-73.79042,40.59605/-73.79018,40.59607/-73.79018,40.59606/-73.79028,40.59605/-73.79013,40.59487/-73.79012,40.59482/-73.79011,40.59477/-73.78995,40.59481/-73.78991,40.59481/-73.7899,40.5948/-73.78987,40.59472/-73.78986,40.59472/-73.7899,40.59482/-73.78988,40.59482/-73.78985,40.59472/-73.78979,40.59473/-73.78982,40.59483/-73.78981,40.59484/-73.78978,40.59473/-73.78974,40.59474/-73.78971,40.59478/-73.78968,40.59481/-73.78967,40.59484/-73.78971,40.59484/-73.78973,40.59494/-73.78987,40.5962/-73.79,40.5962/-73.79,40.59621/-73.7897,40.59623/-73.7897,40.59622/-73.78984,40.59621/-73.78969,40.59495/-73.78967,40.59486/-73.78946,40.595/-73.78942,40.59496/-73.78941,40.59495/-73.7894,40.59495/-73.7894,40.59496/-73.78941,40.595/-73.78942,40.59502/-73.78942,40.59504/-73.78938,40.59511/-73.78938,40.59516/-73.78938,40.59518/-73.78935,40.59519/-73.78933,40.5952/-73.7893,40.59519/-73.78927,40.59519/-73.78924,40.59519/-73.78921,40.59518/-73.78918,40.59519/-73.78919,40.59521/-73.78919,40.59523/-73.78919,40.59528/-73.78918,40.5953/-73.78914,40.59534/-73.78911,40.59547/-73.78912,40.59557/-73.78919,40.59563/-73.7892,40.59565/-73.78921,40.59567/-73.78922,40.59569/-73.78921,40.59572/-73.78919,40.59574/-73.78917,40.59576/-73.78915,40.59579/-73.78915,40.59581/-73.78913,40.59583/-73.78912,40.59585/-73.78911,40.59588/-73.78911,40.5959/-73.78912,40.59591/-73.78914,40.59593/-73.78927,40.59645/-73.78926,40.59692/-73.78922,40.59711/-73.78921,40.59714/-73.78913,40.59736/-73.78919,40.5976/-73.7884,40.59753/-73.78805,40.5945/-73.78704,40.59491/-73.78587,40.59498/-73.78539,40.58879/-73.78877,40.58797/-73.78854,40.58756/-73.78878,40.58745/-73.78945,40.58762/-73.79434,40.58676/-73.79602,40.58632/-73.7967,40.58637/-73.79688,40.58632/-73.79687,40.58638/-73.79687,40.58647/-73.79686,40.58654/-73.80045,40.58601/-73.80041,40.58655/-73.80068,40.58676/-73.80125,40.59087/-73.80452,40.59049/-73.80533,40.59052/-73.80528,40.59168/-73.80523,40.59167/-73.80517,40.59164/-73.8051,40.59161/-73.80504,40.59158/-73.80476,40.59145/-73.8047,40.59143/-73.80465,40.59142/-73.80463,40.59141/-73.80456,40.59138/-73.80449,40.59136/-73.80436,40.59131/-73.80434,40.59131/-73.80433,40.59131/-73.80433,40.59131/-73.8043,40.59132/-73.80428,40.59133/-73.80427,40.59135/-73.80425,40.59137/-73.80422,40.59145/-73.80419,40.59162/-73.80416,40.59174/-73.80417,40.59185/-73.80496,40.59217/-73.80556,40.59242/-73.806,40.59261/-73.80701,40.59305/-73.80706,40.59307/-73.80709,40.59307/-73.80712,40.59307/-73.80715,40.59305/-73.8072,40.59305/-73.80725,40.59305/-73.8073,40.59306/-73.80732,40.59307/-73.80734,40.59308/-73.80756,40.59323/-73.80761,40.59327/-73.80774,40.59334/-73.80779,40.59335/-73.80781,40.59336/-73.80782,40.59337/-73.80783,40.59337/-73.80783,40.59337/-73.80784,40.59338/-73.80787,40.59343/-73.80793,40.59351/-73.80796,40.59355/-73.80797,40.59357/-73.80805,40.59365/-73.80803,40.59367/-73.808,40.59367/-73.808,40.5937/-73.80798,40.59372/-73.80795,40.59373/-73.80794,40.59374/-73.80791,40.59376/-73.80789,40.59378/-73.80786,40.59382/-73.80782,40.59388/-73.80781,40.59391/-73.80781,40.59395/-73.80781,40.59397/-73.8078,40.594/-73.8078,40.594/-73.8078,40.59402/-73.80781,40.59403/-73.80783,40.59404/-73.80786,40.59406/-73.80787,40.59406/-73.80788,40.59407/-73.80788,40.59408/-73.8079,40.59411/-73.80791,40.59412/-73.80792,40.59413/-73.80793,40.59413/-73.80796,40.59413/-73.80796,40.59414/-73.80797,40.59414/-73.80797,40.59414/-73.80798,40.59415/-73.80798,40.59415/-73.80798,40.59416/-73.8079,40.5943/-73.80711,40.59528/-73.80697,40.59533/-73.8069,40.59539/-73.80687,40.59541/-73.80677,40.59542/-73.80655,40.59545/-73.80618,40.59555/-73.80609,40.59556/-73.80604,40.59555/-73.80583,40.59547/-73.80577,40.59543/-73.80547,40.59532/-73.80543,40.59529/-73.80541,40.59529/-73.80541,40.59528/-73.8054,40.59529/-73.80539,40.59529/-73.80537,40.59529/-73.80537,40.5953/-73.80537,40.5953/-73.80536,40.5953/-73.80536,40.5953/-73.80536,40.5953/-73.80536,40.5953/-73.80535,40.59529/-73.80535,40.59529/-73.80535,40.59529/-73.80535,40.59529/-73.80535,40.59529/-73.80535,40.59529/-73.80535,40.59528/-73.80535,40.59527/-73.80534,40.59526/-73.80534,40.59526/-73.80531,40.59524/-73.80522,40.59521/-73.80517,40.59519/-73.80515,40.59519/-73.80515,40.59519/-73.80511,40.59518/-73.80506,40.59516/-73.80502,40.59514/-73.80497,40.59512/-73.80491,40.59509/-73.80485,40.59506/-73.80479,40.59501/-73.80473,40.59497/-73.80471,40.59496/-73.80464,40.59491/-73.80464,40.59489/-73.80464,40.59489/-73.80465,40.59487/-73.80465,40.59486/-73.80465,40.59484/-73.80465,40.59483/-73.80465,40.59483/-73.80464,40.59482/-73.80464,40.59482/-73.80464,40.59482/-73.80463,40.59481/-73.80462,40.5948/-73.80457,40.59479/-73.80455,40.59478/-73.80452,40.59476/-73.80451,40.59476/-73.8045,40.59476/-73.80449,40.59475/-73.80448,40.59474/-73.80446,40.59471/-73.80444,40.59467/-73.80443,40.59465/-73.80432,40.59453/-73.80429,40.59448/-73.80424,40.59442/-73.80411,40.59432/-73.80409,40.59429/-73.80404,40.59418/-73.80403,40.59407/-73.80401,40.59392/-73.80401,40.59382/-73.80401,40.59377/-73.80401,40.59373/-73.80401,40.59371/-73.80403,40.59367/-73.80403,40.59364/-73.80403,40.59359/-73.80403,40.59358/-73.80403,40.59357/-73.80404,40.59355/-73.80404,40.59355/-73.80404,40.59354/-73.80405,40.59354/-73.80406,40.59354/-73.80407,40.59354/-73.8041,40.59353/-73.80413,40.59351/-73.80406,40.59336/-73.80405,40.59326/-73.80403,40.59321/-73.80401,40.59318/-73.80395,40.59313/-73.80391,40.59309/-73.80389,40.59308/-73.80385,40.59306/-73.80383,40.59306/-73.80379,40.59302/-73.80376,40.593/-73.80376,40.593/-73.80375,40.593/-73.80375,40.59299/-73.80375,40.59299/-73.80375,40.59298/-73.80375,40.59298/-73.80375,40.59297/-73.80377,40.59294/-73.80377,40.59293/-73.80378,40.59293/-73.8038,40.59291/-73.8038,40.5929/-73.80381,40.5929/-73.80381,40.59289/-73.8038,40.59289/-73.80379,40.59289/-73.80379,40.59289/-73.80377,40.59288/-73.80371,40.59288/-73.80369,40.59289/-73.80368,40.59289/-73.80362,40.59294/-73.80328,40.59276/-73.80308,40.59261/-73.80305,40.59259/-73.80304,40.59258/-73.80303,40.59258/-73.80302,40.59258/-73.80298,40.59258/-73.80298,40.59258/-73.80295,40.5926/-73.80295,40.5926/-73.80244,40.59264/-73.80246,40.59286/-73.80249,40.59329/-73.80238,40.59329/-73.80251,40.59395/-73.80314,40.59385/-73.80312,40.59376/-73.80314,40.59376/-73.80317,40.59386/-73.80318,40.59395/-73.80317,40.59395/-73.80314,40.59387/-73.80251,40.59397/-73.80257,40.59427/-73.80274,40.59425/-73.80324,40.59419/-73.80322,40.59409/-73.80324,40.59409/-73.80329,40.59428/-73.80326,40.59429/-73.80324,40.5942/-73.80282,40.59426/-73.80283,40.59429/-73.80272,40.5943/-73.80272,40.59427/-73.8026,40.59429/-73.80261,40.5943/-73.80271,40.59429/-73.80271,40.59431/-73.80258,40.59432/-73.80259,40.59438/-73.80234,40.5944/-73.80235,40.5945/-73.80277,40.59448/-73.80278,40.59456/-73.80304,40.59454/-73.8031,40.59456/-73.80312,40.59459/-73.80319,40.59466/-73.80347,40.5945/-73.80342,40.59445/-73.80344,40.59443/-73.80351,40.59451/-73.80349,40.59452/-73.80348,40.59452/-73.8032,40.59468/-73.80321,40.59469/-73.80338,40.59487/-73.80366,40.59473/-73.80372,40.59482/-73.80371,40.59482/-73.80365,40.59475/-73.80338,40.59489/-73.80336,40.59489/-73.80334,40.59487/-73.8032,40.59487/-73.8032,40.59494/-73.80338,40.59493/-73.80338,40.59495/-73.8032,40.59495/-73.80321,40.59501/-73.80339,40.59501/-73.80339,40.59502/-73.80321,40.59503/-73.80321,40.59515/-73.80331,40.59515/-73.80331,40.59517/-73.80335,40.59516/-73.80335,40.59516/-73.80364,40.59513/-73.8039,40.59499/-73.80391,40.595/-73.80365,40.59515/-73.80331,40.59518/-73.80331,40.59518/-73.80333,40.59519/-73.80343,40.59519/-73.8035,40.59518/-73.80354,40.59517/-73.80357,40.59516/-73.8036,40.59516/-73.80362,40.59517/-73.80365,40.59518/-73.80367,40.59519/-73.80368,40.5952/-73.80411,40.59569/-73.80428,40.59588/-73.8044,40.59604/-73.8045,40.59617/-73.80459,40.59629/-73.80469,40.59637/-73.80472,40.59641/-73.80473,40.59644/-73.80474,40.59649/-73.80475,40.59653/-73.80478,40.59657/-73.80486,40.59673/-73.80495,40.59674/-73.80501,40.59676/-73.80502,40.59676/-73.80502,40.59676/-73.80509,40.59677/-73.8051,40.59671/-73.80511,40.59669/-73.8051,40.59661/-73.80513,40.59661/-73.80515,40.59672/-73.80515,40.59672/-73.80516,40.59673/-73.80521,40.59673/-73.80522,40.59677/-73.80522,40.59677/-73.80523,40.59679/-73.80521,40.59679/-73.80521,40.59681/-73.8052,40.59689/-73.80525,40.5969/-73.80525,40.59695/-73.8052,40.59694/-73.8052,40.59696/-73.80524,40.59696/-73.80525,40.59703/-73.80521,40.59704/-73.80522,40.59719/-73.80519,40.59719/-73.80518,40.59713/-73.80518,40.59705/-73.80517,40.59697/-73.80517,40.5969/-73.80518,40.59679/-73.80516,40.59679/-73.80516,40.59677/-73.80517,40.59677/-73.80516,40.59676/-73.80515,40.59676/-73.80514,40.59682/-73.8051,40.59682/-73.8051,40.59681/-73.80501,40.59681/-73.80501,40.59679/-73.80497,40.59678/-73.80497,40.59679/-73.80495,40.59678/-73.80495,40.59676/-73.80493,40.59676/-73.80488,40.59675/-73.80494,40.59686/-73.80503,40.597/-73.80508,40.5971/-73.80511,40.59715/-73.80505,40.59721/-73.80497,40.59727/-73.80493,40.5973/-73.80485,40.59742/-73.80477,40.59753/-73.80475,40.59755/-73.80473,40.59763/-73.80473,40.59764/-73.80473,40.59765/-73.80472,40.59766/-73.80472,40.59767/-73.80471,40.59767/-73.8047,40.59768/-73.80469,40.59769/-73.80468,40.5977/-73.80467,40.5977/-73.80464,40.59771/-73.80462,40.59771/-73.8046,40.59771/-73.80458,40.59771/-73.80456,40.59771/-73.80451,40.59771/-73.80449,40.59772/-73.80446,40.59773/-73.80446,40.59773/-73.80444,40.59773/-73.80444,40.59772/-73.80444,40.59772/-73.80442,40.59773/-73.80442,40.59774/-73.80441,40.59775/-73.80439,40.59775/-73.80438,40.59775/-73.80436,40.59777/-73.80436,40.59777/-73.80435,40.59778/-73.80435,40.59778/-73.80434,40.59778/-73.80432,40.59779/-73.80431,40.59779/-73.80431,40.5978/-73.8043,40.5978/-73.80429,40.5978/-73.80429,40.5978/-73.80428,40.5978/-73.80426,40.5978/-73.80424,40.59781/-73.80423,40.59782/-73.80423,40.59782/-73.80423,40.59783/-73.80423,40.59783/-73.80422,40.59783/-73.80421,40.59783/-73.8042,40.59783/-73.80419,40.59783/-73.80417,40.59784/-73.80413,40.59787/-73.80411,40.59787/-73.8041,40.59787/-73.80409,40.59787/-73.80407,40.59787/-73.80405,40.59789/-73.80404,40.5979/-73.80393,40.59794/-73.80392,40.59795/-73.80391,40.598/-73.80391,40.59802/-73.8039,40.59803/-73.80389,40.59804/-73.80389,40.59805/-73.80389,40.59805/-73.80388,40.59806/-73.80388,40.59806/-73.80387,40.59806/-73.80386,40.59805/-73.80385,40.59805/-73.80385,40.59806/-73.80385,40.59806/-73.80385,40.59807/-73.80386,40.59808/-73.80386,40.59808/-73.80386,40.59809/-73.80385,40.5981/-73.80385,40.5981/-73.80384,40.5981/-73.80382,40.59809/-73.80381,40.59809/-73.80381,40.59808/-73.8038,40.59808/-73.80378,40.59809/-73.80377,40.59809/-73.80371,40.59811/-73.80369,40.59812/-73.80369,40.59813/-73.80368,40.59814/-73.80369,40.59817/-73.80368,40.59818/-73.80368,40.59818/-73.80367,40.59818/-73.80366,40.59817/-73.80366,40.59816/-73.80365,40.59816/-73.80365,40.59816/-73.80365,40.59817/-73.80364,40.59818/-73.80364,40.59819/-73.80362,40.59819/-73.80362,40.59819/-73.8036,40.59819/-73.80359,40.59819/-73.80358,40.59821/-73.80358,40.59822/-73.80357,40.59823/-73.80358,40.59824/-73.80358,40.59825/-73.80357,40.59828/-73.80356,40.59829/-73.80355,40.5983/-73.80354,40.5983/-73.80353,40.59829/-73.80352,40.59829/-73.80352,40.59829/-73.80352,40.5983/-73.80351,40.59831/-73.80351,40.59832/-73.80349,40.59833/-73.80345,40.59837/-73.80345,40.59838/-73.80345,40.59839/-73.80345,40.5984/-73.80344,40.5984/-73.80343,40.5984/-73.80342,40.5984/-73.80341,40.5984/-73.8034,40.59841/-73.80339,40.59841/-73.8034,40.59842/-73.80343,40.59844/-73.80343,40.59845/-73.80343,40.59845/-73.80342,40.59846/-73.80342,40.59846/-73.8034,40.59848/-73.80339,40.59849/-73.80339,40.5985/-73.80339,40.5985/-73.80339,40.59851/-73.80338,40.59852/-73.80337,40.59852/-73.80336,40.59852/-73.80335,40.59852/-73.80334,40.59852/-73.80333,40.59852/-73.80331,40.59852/-73.80328,40.59854/-73.80326,40.59855/-73.80324,40.59857/-73.8032,40.5986/-73.80317,40.59865/-73.80313,40.59869/-73.80311,40.59871/-73.8031,40.59872/-73.80307,40.59873/-73.80304,40.59875/-73.80303,40.59877/-73.80302,40.59878/-73.80301,40.59881/-73.803,40.59882/-73.80299,40.59883/-73.80298,40.59884/-73.80296,40.59886/-73.80292,40.59887/-73.80289,40.59888/-73.80286,40.59889/-73.80283,40.5989/-73.8028,40.59891/-73.80271,40.59892/-73.80267,40.59893/-73.80266,40.59894/-73.80263,40.59894/-73.80257,40.59893/-73.80242,40.59893/-73.80234,40.59892/-73.80219,40.5989/-73.80208,40.59887/-73.80201,40.59885/-73.80196,40.59885/-73.80189,40.59886/-73.80177,40.59889/-73.80167,40.5989/-73.80147,40.59899/-73.80123,40.59912/-73.80095,40.59915/-73.80095,40.59918/-73.80091,40.59918/-73.80089,40.5992/-73.8009,40.59931/-73.80089,40.59931/-73.8009,40.59934/-73.80091,40.59934/-73.80092,40.59939/-73.80088,40.59939/-73.80088,40.59934/-73.80089,40.59934/-73.80088,40.59931/-73.80087,40.59931/-73.80086,40.59921/-73.80082,40.59919/-73.80078,40.59919/-73.80078,40.59916/-73.80057,40.59918/-73.80057,40.5992/-73.8005,40.5992/-73.80051,40.59933/-73.80047,40.59933/-73.80047,40.59928/-73.80046,40.59928/-73.80045,40.59918/-73.79934,40.59925/-73.79916,40.59926/-73.79917,40.59932/-73.79919,40.59932/-73.7992,40.59937/-73.79919,40.59937/-73.79919,40.59942/-73.79914,40.59942/-73.79914,40.59937/-73.79913,40.59937/-73.79912,40.59932/-73.79915,40.59932/-73.79914,40.59926/-73.79879,40.59926/-73.79869,40.59926/-73.79862,40.59921/-73.79853,40.59918/-73.79843,40.59917/-73.79831,40.59919/-73.79824,40.5992/-73.79817,40.59922/-73.79811,40.59925/-73.79811,40.5993/-73.79782,40.59932/-73.79769,40.59933/-73.79562,40.59944/-73.79562,40.59946/-73.79554,40.59947/-73.79555,40.5995/-73.79547,40.5995/-73.79546,40.59947/-73.79531,40.59948/-73.79519,40.59945/-73.79507,40.59943/-73.79495,40.59942/-73.79482,40.59941/-73.7947,40.59941/-73.79457,40.59942/-73.79445,40.59943/-73.79433,40.59945/-73.79421,40.59948/-73.7941,40.59951/-73.79398,40.59955/-73.79388,40.5996/-73.79377,40.59965/-73.79367,40.59971/-73.79358,40.59977/-73.79355,40.59978/-73.79352,40.59982/-73.79348,40.59985/-73.79346,40.59987/-73.79343,40.59988/-73.79341,40.5999/-73.79338,40.59993/-73.79336,40.59995/-73.79335,40.59995/-73.79334,40.59995/-73.79332,40.59997/-73.79331,40.59997/-73.79326,40.59997/-73.79319,40.59996/-73.79317,40.59996/-73.79314,40.59998/-73.79312,40.59999/-73.7931,40.59999/-73.79304,40.59998/-73.79298,40.59999/-73.79291,40.59999/-73.7929,40.59998/-73.79288,40.59996/-73.79285,40.59995/-73.79281,40.59996/-73.79278,40.59994/-73.79277,40.59994/-73.79276,40.59995/-73.79274,40.59999/-73.79274,40.6/-73.7927,40.60001/-73.79267,40.60001/-73.79263,40.60001/-73.79262,40.60001/-73.79262,40.60002/-73.79261,40.60004/-73.7926,40.60005/-73.79259,40.60005/-73.79256,40.60004/-73.79254,40.60005/-73.79252,40.60004/-73.79251,40.60002/-73.79249,40.60002/-73.79246,40.60001/-73.79243,40.6/-73.79236,40.59995/-73.79233,40.59995/-73.79229,40.59999/-73.79228,40.60002/-73.79227,40.60002/-73.79226,40.60001/-73.79224,40.60001/-73.79221,40.60001/-73.79219,40.60002/-73.7922,40.60004/-73.79219,40.60005/-73.79216,40.60005/-73.79214,40.60006/-73.79213,40.60008/-73.79211,40.60009/-73.79209,40.60011/-73.79208,40.60014/-73.79206,40.60016/-73.79205,40.60017/-73.79205,40.60018/-73.79204,40.60021/-73.79203,40.60022/-73.79193,40.60025/-73.79191,40.60027/-73.79189,40.60028/-73.79185,40.60029/-73.7918,40.6003/-73.79172,40.60032/-73.79159,40.60033/-73.79154,40.60035/-73.79147,40.60039/-73.79142,40.60043/-73.79131,40.6005/-73.79119,40.6006/-73.79116,40.60063/-73.79108,40.60069/-73.79096,40.6008/-73.79087,40.60092/-73.79085,40.60094/-73.79082,40.60096/-73.79079,40.60098/-73.79076,40.60099/-73.79074,40.60101/-73.79072,40.60103/-73.7907,40.60105/-73.7907,40.60107/-73.79069,40.60108/-73.79067,40.6011/-73.79065,40.60111/-73.79062,40.60112/-73.79059,40.60112/-73.79056,40.60113/-73.79054,40.60114/-73.79051,40.60114/-73.79045,40.60114/-73.79043,40.60115/-73.7904,40.60115/-73.79038,40.60116/-73.7903,40.60121/-73.79025,40.60124/-73.79009,40.60137/-73.79,40.60143/-73.78994,40.60151/-73.78985,40.6016/-73.7898,40.60164/-73.78975,40.60168/-73.7897,40.6017/-73.78961,40.60177/-73.78949,40.60188/-73.7894,40.60197/-73.78933,40.60201/-73.78907,40.60219/-73.78901,40.60224/-73.78896,40.60229/-73.78889,40.60234/-73.78865,40.60251/-73.78857,40.60258/-73.78852,40.60263/-73.78837,40.60273/-73.78832,40.60276/-73.78828,40.60279/-73.78821,40.60284/-73.78811,40.60293/-73.78808,40.60296/-73.78804,40.60298/-73.78798,40.60302/-73.7879,40.60308/-73.78786,40.60311/-73.78782,40.60312/-73.78779,40.60313/-73.78777,40.60314/-73.7877,40.60312/-73.78767,40.60311/-73.78762,40.60312/-73.78758,40.60313/-73.78743,40.60319/-73.78734,40.60322/-73.7873,40.60323/-73.78727,40.60324/-73.78664,40.60326/-73.7865,40.60325/-73.78635,40.60319/-73.7863,40.60316/-73.7863,40.60315/-73.78631,40.60314/-73.78631,40.60312/-73.78629,40.60311/-73.78626,40.60311/-73.78622,40.6031/-73.78617,40.60307/-73.78617,40.60307/-73.78617,40.60305/-73.78618,40.60303/-73.7862,40.60301/-73.78624,40.60298/-73.78629,40.60293/-73.78634,40.6029/-73.78639,40.60287/-73.78643,40.60284/-73.78647,40.6028/-73.78651,40.60276/-73.78647,40.60272/-73.78659,40.60265/-73.78663,40.60268/-73.78677,40.6026/-73.7869,40.60251/-73.78716,40.60233/-73.78721,40.60226/-73.78728,40.60211/-73.78733,40.60201/-73.78742,40.60186/-73.78746,40.60179/-73.78751,40.60168/-73.78755,40.60162/-73.78757,40.60156/-73.78763,40.60144/-73.78766,40.60137/-73.78775,40.60125/-73.78789,40.60104/-73.78793,40.601/-73.788,40.60094/-73.78807,40.60085/-73.78835,40.60064/-73.7885,40.60054/-73.78863,40.60048/-73.78876,40.60038/-73.78887,40.60032/-73.78899,40.60024/-73.78909,40.60019/-73.78913,40.60015/-73.78919,40.60013/-73.78924,40.6001/-73.78926,40.60006/-73.78927,40.60004/-73.78928,40.60002/-73.7893,40.60001/-73.78936,40.6/-73.78939,40.59999/-73.78946,40.6/-73.78953,40.59997/
